cruise,permit,year,observer,vessel_name,gear_desc,haul_date,haul,size_est,visual_cue,total_haul_pss,census,sex_obs,photo_taken,wt,pcl,specimen_yn,specimen_num,notes,notes2,trip_join,haul_join,nmfs_area,gear,gear_description,performance,performance_description,official_total_catch_mt,vessel,vessel_length_ft,ifq_flag,duration_min,bottom_depth_fathoms,fishing_depth_fathoms,lat_dd_start,lon_dd_start,lat_dd_end,lon_dd_end,t_table,haul_seq,sample_type,percent_retained,date_of_entry,species_code,species_name,sex,sample_size,sample_number,sample_weight_kg,extrapolated_number,extrapolated_weight_kg,received_from_norpac,loaded_to_repository,sampID,ncf_lat,ncf_lon
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,101,S,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001902',521,8,LONGLINER,1,NO PROBLEM,26.9,A715,184,N,1255.2,64,NA,59.67167,-174.64833,59.32333,-174.37167,ATL,1902,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11025,3,0,9,130.04,11-Jul-22,13-Jul-22,62_2019_23410_33320_101_32,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,101,M,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001902',521,8,LONGLINER,1,NO PROBLEM,26.9,A715,184,N,1255.2,64,NA,59.67167,-174.64833,59.32333,-174.37167,ATL,1902,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11025,3,0,9,130.04,11-Jul-22,13-Jul-22,62_2019_23410_33320_101_33,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,101,L,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001902',521,8,LONGLINER,1,NO PROBLEM,26.9,A715,184,N,1255.2,64,NA,59.67167,-174.64833,59.32333,-174.37167,ATL,1902,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11025,3,0,9,130.04,11-Jul-22,13-Jul-22,62_2019_23410_33320_101_34,59.3350625928,-174.534642509
25343,3672,2022,Rory Morgan,Frontier Mariner,NA,2022-03-04,101,M,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,'25343003672000000004','25343003672000000101',521,8,LONGLINER,1,NO PROBLEM,18.08,A100,135,N,1147.2,68,NA,57.815,-173.38333,57.815,-173.38333,ATL,101,L,0,12-Jul-22,62,PACIFIC SLEEPER SHARK,NA,4935,1,19.01,3,58.83,11-Jul-22,13-Jul-22,62_2022_25343_3672_101_35,57.7564314711,-173.282719769
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-06-14,102,S,10,1,Y,NA,NA,NA,NA,N,NA,NA,haul not in obs db,'22769004450000000018','22769004450000001272',517,8,LONGLINER,5,OTHER PROBLEM,9.84,A553,135,N,865.8,111,NA,55.02167,-167.43333,55.13333,-167.15,ATL,1272,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,6318,1,16.08,3,50.63,11-Jul-22,13-Jul-22,62_2018_22769_4450_102_36,55.1738280469,-167.182541023
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,103,S,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001904',521,8,LONGLINER,1,NO PROBLEM,9.61,A715,184,N,207,64,NA,59.57333,-174.48667,59.57833,-174.48667,ATL,1904,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3675,3,0,9,125.4,11-Jul-22,13-Jul-22,62_2019_23410_33320_103_37,59.6377116406,-174.403501136
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,103,M,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001904',521,8,LONGLINER,1,NO PROBLEM,9.61,A715,184,N,207,64,NA,59.57333,-174.48667,59.57833,-174.48667,ATL,1904,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3675,3,0,9,125.4,11-Jul-22,13-Jul-22,62_2019_23410_33320_103_38,59.6377116406,-174.403501136
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,103,L,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001904',521,8,LONGLINER,1,NO PROBLEM,9.61,A715,184,N,207,64,NA,59.57333,-174.48667,59.57833,-174.48667,ATL,1904,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3675,3,0,9,125.4,11-Jul-22,13-Jul-22,62_2019_23410_33320_103_39,59.6377116406,-174.403501136
24304,3011,2020,Lauren Kabot,Ocean Explorer,NA,2020-08-04,126,S,NA,1,NA,2,NA,25.5,119,NA,NA,Photos: 0193-0195,NA,'24304003011000000015','24304003011000000071',517,2,PELAGIC,1,NO PROBLEM,40,A004,155,N,756,124,114,55.24611,-167.7375,55.47694,-168.15556,ATL,71,B,0,4-Aug-20,62,PACIFIC SLEEPER SHARK,NA,223,1,25.5,1,25.5,11-Jul-22,13-Jul-22,62_2020_24304_3011_126_40,55.5179721124,-168.145752483
22356,3242,2018,Johanna Protheroe,Clipper Endeavor,NA,2018-03-16,133,S,NA,1,Y,2,NA,9.94,92,N,NA,NA,NA,'22356003242000000026','22356003242000001298',521,8,LONGLINER,1,NO PROBLEM,10.35,A057,128,N,1866,61,NA,56.81333,-170.885,56.81167,-171.17833,ATL,1298,B,0,29-Dec-21,62,PACIFIC SLEEPER SHARK,NA,2568,1,9.94,6,57.98,11-Jul-22,13-Jul-22,62_2018_22356_3242_133_41,56.8468083642,-171.30859652
